Operation time,Airline,Flight Num,Departure Airport,Arrival Airport ,Terminal,Departure / Arrival ,Origin Date,CodeContext
2024-05-24 13:30:00,AH,1000,ALG,CDG,4,Departure,2024-05-24,DEL
2024-05-24 12:30:00,AH,1004,ALG,ORY,4,Departure,2024-05-24,OFB
2024-05-24 17:00:00,AH,1040,ALG,NCE,4,Departure,2024-05-24,OFB
2024-05-24 8:00:00,AH,1074,ALG,LIL,4,Departure,2024-05-24,OFB
2024-05-24 13:15:00,AH,1214,ALG,CDG,4,Departure,2024-05-24,OFB
2024-05-24 19:30:00,AH,1230,ALG,CDG,4,Departure,2024-05-24,OFB
2024-05-24 15:15:00,AH,6296,ALG,INZ,1,Departure,2024-05-24,OFB
2024-05-24 18:44:00,VY,7991,MRS,ALG,4,Arrival,2024-05-24,ONB
2024-05-24 20:00:00,VY,7990,ALG,MRS,4,Departure,2024-05-24,OFB
2024-05-24 17:35:00,AH,2014,ALG,BCN,4,Departure,2024-05-24,OFB
2024-05-23 18:34:00,AH,5641,BKO,ALG,4,Arrival,2024-05-23,ONB
2024-05-24 11:42:00,5O,161,CDG,ALG,4,Arrival,2024-05-24,ONB
2024-05-24 12:00:00,5O,162,ALG,CDG,4,Departure,2024-05-24,DEL
2024-05-24 19:40:00,5O,532,ALG,CDG,4,Departure,2024-05-24,OFB
2024-05-24 18:37:00,5O,533,MLH,ALG,4,Arrival,2024-05-24,ONB
2024-05-24 7:00:00,AH,6334,ALG,VVZ,1,Departure,2024-05-24,OFB
2024-05-24 16:30:00,SF,1200,ALG,HME,1,Departure,2024-05-24,DX
2024-05-24 11:17:00,SF,2333,INZ,ALG,1,Arrival,2024-05-24,ONB
2024-05-24 6:00:00,AH,6288,ALG,TMR,1,Departure,2024-05-24,OFB
2024-05-24 7:00:00,AH,6180,ALG,ORN,1,Departure,2024-05-24,OFB
2024-05-24 7:30:00,AH,6318,ALG,ELG,1,Departure,2024-05-24,OFB
2024-05-24 10:15:00,AH,3016,ALG,IST,4,Departure,2024-05-24,OFB
2024-05-24 10:10:00,AH,2700,ALG,YUL,4,Departure,2024-05-24,OFB
2024-05-24 11:00:00,AH,2026,ALG,MXP,4,Departure,2024-05-24,OFB
2024-05-24 12:45:00,AH,2054,ALG,LHR,4,Departure,2024-05-24,DEL
2024-05-24 11:20:00,AH,6172,ALG,AAE,1,Departure,2024-05-24,OFB
2024-05-24 11:45:00,AH,2046,ALG,GVA,4,Departure,2024-05-24,OFB
2024-05-24 12:00:00,AH,6134,ALG,CBH,1,Departure,2024-05-24,OFB
2024-05-24 14:00:00,AH,1020,ALG,MRS,4,Departure,2024-05-24,OFB
2024-05-24 13:45:00,AH,6052,ALG,BJA,1,Departure,2024-05-24,OFB
2024-05-24 13:40:00,AH,6590,ALG,TLM,0,Departure,2024-05-24,OFB
2024-05-24 16:00:00,AH,6182,ALG,ORN,1,Departure,2024-05-24,OFB
2024-05-24 16:45:00,AH,6038,ALG,BLJ,1,Departure,2024-05-24,OFB
2024-05-24 17:20:00,AH,6222,ALG,HME,1,Departure,2024-05-24,OFB
2024-05-24 0:05:00,AH,6039,BJA,ALG,1,Arrival,2024-05-24,ONB
2024-05-24 17:45:00,AH,6560,ALG,AAE,0,Departure,2024-05-24,OFB
2024-05-24 7:04:00,AH,5349,DLA,ALG,4,Arrival,2024-05-24,ONB
2024-05-24 10:54:00,AH,6289,TMR,ALG,1,Arrival,2024-05-24,ONB
2024-05-24 19:55:00,AH,6592,ALG,TLM,1,Departure,2024-05-24,OFB
2024-05-24 13:58:00,AH,6173,AAE,ALG,1,Arrival,2024-05-24,ONB
2024-05-24 20:10:00,AH,6224,ALG,HME,1,Departure,2024-05-24,OFB
2024-05-24 15:42:00,AH,6053,BJA,ALG,1,Arrival,2024-05-24,ONB
2024-05-24 20:30:00,AH,6136,ALG,CBH,1,Departure,2024-05-24,DX
2024-05-24 22:10:00,AH,5322,ALG,OUA,4,Departure,2024-05-24,OFB
2024-05-24 22:30:00,AH,6268,ALG,TGR,1,Departure,2024-05-24,OFB
